Datum,Energietraeger,Produktion_GWh
2015-05-07,Flusskraft,80.0
2015-05-07,Kernkraft,69.8
2015-05-07,Photovoltaik,4.7
2015-05-07,Speicherkraft,66.6
2015-05-07,Thermische,6.8
2015-05-07,Wind,0.1
2015-05-08,Flusskraft,71.7
2015-05-08,Kernkraft,70.1
2015-05-08,Photovoltaik,4.4
2015-05-08,Speicherkraft,74.0
2015-05-08,Thermische,6.8
2015-05-08,Wind,0.2
2015-05-09,Flusskraft,67.1
2015-05-09,Kernkraft,70.3
2015-05-09,Photovoltaik,3.7
2015-05-09,Speicherkraft,51.9
2015-05-09,Thermische,6.8
2015-05-09,Wind,0.4
2015-05-10,Flusskraft,62.1
2015-05-10,Kernkraft,70.2
2015-05-10,Photovoltaik,6.3
2015-05-10,Speicherkraft,42.6
2015-05-10,Thermische,6.8
2015-05-10,Wind,0.1
2015-05-11,Flusskraft,62.8
2015-05-11,Kernkraft,69.9
2015-05-11,Photovoltaik,5.4
2015-05-11,Speicherkraft,85.5
2015-05-11,Thermische,6.8
2015-05-11,Wind,0.1
2015-05-12,Flusskraft,63.9
2015-05-12,Kernkraft,69.5
2015-05-12,Photovoltaik,5.4
2015-05-12,Speicherkraft,80.3
2015-05-12,Thermische,6.8
2015-05-12,Wind,0.3
2015-05-13,Flusskraft,68.1
